project_name,experiment_description(model type etc.),start_time,duration(s),power_consumption(kWTh),CO2_emissions(kg),CPU_name,GPU_name,OS,region/country
TFG_Project,training LogisticRegression model,2022-08-28 11:29:13,0.3928596973419189,4.9486662535969135e-09,9.87333147586388e-10,"Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz/1 device(s), TDP:65.0", 0 device(s),Linux,ES/Aragon
TFG_Project,training RandomForest model,2022-08-28 11:29:15,0.4579081535339355,5.902811239290412e-09,1.1776993844070263e-09,"Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz/1 device(s), TDP:65.0", 0 device(s),Linux,ES/Aragon
TFG_Project,training LogisticRegression model,2022-08-28 11:29:17,0.1985762119293212,2.420499988033952e-09,4.829260551125941e-10,"Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz/1 device(s), TDP:65.0", 0 device(s),Linux,ES/Aragon
TFG_Project,training LogisticRegression model,2022-08-28 11:41:49,0.4167096614837646,5.583235693507049e-09,1.1139392693900588e-09,"Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz/1 device(s), TDP:65.0", 0 device(s),Linux,ES/Aragon
TFG_Project,training RandomForest model,2022-08-28 11:41:51,0.5755138397216797,8.07255012148289e-09,1.6105948374876587e-09,"Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz/1 device(s), TDP:65.0", 0 device(s),Linux,ES/Aragon
TFG_Project,training LogisticRegression model,2022-08-28 11:41:53,0.2214853763580322,2.930130958702648e-09,5.84605078225558e-10,"Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz/1 device(s), TDP:65.0", 0 device(s),Linux,ES/Aragon
TFG_Project,training LogisticRegression model,2022-08-28 11:42:48,0.2369320392608642,3.138547445757922e-09,6.261872936403917e-10,"Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz/1 device(s), TDP:65.0", 0 device(s),Linux,ES/Aragon
TFG_Project,training RandomForest model,2022-08-28 11:42:50,0.5785248279571533,8.438693565911611e-09,1.683645946802855e-09,"Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz/1 device(s), TDP:65.0", 0 device(s),Linux,ES/Aragon
TFG_Project,training LogisticRegression model,2022-08-28 11:42:52,0.232656717300415,3.025994321887992e-09,6.037312571314827e-10,"Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz/1 device(s), TDP:65.0", 0 device(s),Linux,ES/Aragon
TFG_Project,training LogisticRegression model,2022-08-28 11:44:43,0.3256456851959228,2.4557193031190157e-09,4.8995283676179e-10,"Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz/1 device(s), TDP:65.0", 0 device(s),Linux,ES/Aragon
